rm,fc,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
0.5,L,rm.0.5_fc.L,0.825973570324575,0.99,0.11278637234667985,0.07617774296372783,0.8206013219411292,0.12105245632961435,0.7555,0.3120582210635274,0.12503834061805078,0.14951117701748728,0.0015432098765432098,0.0030864197530864196,14446.48168280653,425.7781084284434,3.4950633333547813e-93,9
1,L,rm.1_fc.L,0.8258602782071097,0.991,0.11157529155643292,0.07530950149660857,0.8201535972241468,0.1201286966993282,0.777,0.26960588519788165,0.12813434552564987,0.14848095602026865,0.0015432098765432098,0.0030864197530864196,14448.21135990904,427.5077855309537,1.4718394504905086e-93,9
1.5,L,rm.1.5_fc.L,0.825714374034003,0.992,0.11022178805581354,0.07413589827904637,0.8197515433505703,0.11907024171961561,0.7905,0.24447017541341656,0.12659113564910665,0.14572948445751763,0.0015432098765432098,0.0030864197530864196,14450.071850404765,429.36827602667836,5.805773134560076e-94,9
2,L,rm.2_fc.L,0.8255415765069551,0.992,0.10860694403619178,0.07227777104797273,0.8194589808853674,0.11742966031663893,0.797,0.2344184293096428,0.12041829614293383,0.1327806380413357,0.0015432098765432098,0.0030864197530864196,14452.232921363255,431.52934698516765,1.9705591033384674e-94,9
2.5,L,rm.2.5_fc.L,0.8253469860896445,0.993,0.10676612826930237,0.070649413338058,0.8191878459566001,0.11586190074283931,0.80425,0.21394138605390653,0.11734146154436009,0.12361266381720826,0.0015432098765432098,0.0030864197530864196,14454.654604953821,433.95103057573397,5.8712091986934914e-95,9
3,L,rm.3_fc.L,0.8251231839258114,0.993,0.1057269272410252,0.07090012345827229,0.8183448459409505,0.11582778002869074,0.812,0.19769673745411176,0.11735104669887278,0.119746613222257,0.0015432098765432098,0.0030864197530864196,14457.288347468306,436.58477309021873,1.573322069603728e-95,9
3.5,L,rm.3.5_fc.L,0.8248687789799073,0.994,0.10455856458781188,0.07140989982524773,0.8175962970657455,0.11579552881384395,0.81275,0.199660336571889,0.118894256575416,0.12230357480725759,0.0015432098765432098,0.0030864197530864196,14460.15669570347,439.4531213253831,3.74941687227969e-96,9
4,L,rm.4_fc.L,0.8246044822256569,0.995,0.10343830549847349,0.071934761260407,0.8168136640649142,0.11581831954066167,0.8215,0.19378424428557994,0.11890384172992868,0.12041699209809624,0.0015432098765432098,0.0030864197530864196,14463.128550107542,442.4249757294547,8.484646347797331e-97,9
0.5,LQ,rm.0.5_fc.LQ,0.8465710973724884,0.998,0.05107802996718308,0.05879251675717526,0.8586901549769945,0.0634954266199788,0.88125,0.1366537595531129,0.040142627099148835,0.043486521011737736,0.0015432098765432098,0.0030864197530864196,14314.57009982818,293.86652545009383,1.540605142629766e-64,15
1,LQ,rm.1_fc.LQ,0.840819629057187,0.997,0.0815783026810154,0.06213814028344501,0.8442013356173271,0.09013499345587417,0.8305,0.23122067381616207,0.07874204432175447,0.07495325986344405,0.0015432098765432098,0.0030864197530864196,14356.388707596998,335.6851332189108,1.2790751037315732e-73,12
1.5,LQ,rm.1.5_fc.LQ,0.8386681607418857,0.996,0.08536542769472938,0.06783113939649923,0.8407003764189392,0.0961210669252874,0.805,0.2565047108079434,0.08181887892032819,0.09350498841597815,0.0015432098765432098,0.0030864197530864196,14376.736149453143,356.03257507505623,4.88095930010259e-78,12
2,LQ,rm.2_fc.LQ,0.8357163833075734,0.994,0.08888176989219179,0.0728634012039909,0.8365217791286379,0.10142353628947358,0.79725,0.2458256495974332,0.08642933824093245,0.11786937163717402,0.0015432098765432098,0.0030864197530864196,14397.367191841131,376.6636174630439,1.616334540675402e-82,11
2.5,LQ,rm.2.5_fc.LQ,0.8346893353941267,0.993,0.0916831127182628,0.07613416563173066,0.831294382061247,0.10603890596316114,0.78825,0.2545026195019087,0.08952534314853156,0.11941371223031083,0.0015432098765432098,0.0030864197530864196,14401.01316407638,380.30958969829226,2.6110695633746913e-83,9
3,LQ,rm.3_fc.LQ,0.8342072642967543,0.992,0.09088971734116355,0.0757485585789956,0.829150896202749,0.10587617151853244,0.788,0.2444354038732251,0.10189977762441531,0.11864525318659737,0.0015432098765432098,0.0030864197530864196,14405.152191209241,384.44861683115414,3.2964016298864493e-84,9
3.5,LQ,rm.3.5_fc.LQ,0.8336241112828439,0.991,0.09118728830171688,0.07717222379046713,0.827527561963044,0.10720083024800912,0.8009999999999999,0.21685171584902588,0.10809178743961353,0.12201255940842835,0.0015432098765432098,0.0030864197530864196,14409.739218840687,389.0356444625995,3.3264402413710414e-85,9
4,LQ,rm.4_fc.LQ,0.8330217928902628,0.991,0.09140900327678067,0.07904924593992392,0.8259578870375412,0.10873250711555599,0.79375,0.2352833398266864,0.1050053676865271,0.11911777580370485,0.0015432098765432098,0.0030864197530864196,14418.527543049591,397.8239686715042,4.10789535041152e-87,11
0.5,H,rm.0.5_fc.H,0.8903370942812983,0.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14044.192520047201,23.4889456691144,7.932988191863538e-6,82
1,H,rm.1_fc.H,0.8860381761978362,0.999,0.08536992479445177,0.056238094018955194,0.7906841842340692,0.04247946746046856,0.817,0.2511108652899485,0.20892761291312018,0.1613076464934432,0.0015432098765432098,0.0030864197530864196,14059.355021665453,38.651447287365954,4.04521319807768e-9,63
1.5,H,rm.1.5_fc.H,0.8810276661514683,0.998,0.08666710579025619,0.04883077345525638,0.8041620319613938,0.06679097149204066,0.853,0.15197587527850157,0.17794839352810365,0.15254205504328502,0.0015432098765432098,0.0030864197530864196,14119.457192341117,98.75361796302968,3.596838002211168e-22,59
2,H,rm.2_fc.H,0.875516228748068,0.999,0.08844456265966721,0.04078146678736994,0.8082536692272625,0.07581422542932142,0.86175,0.12198189756407847,0.15154129284564066,0.13104319397829328,0.0015432098765432098,0.0030864197530864196,14155.161377074091,134.45780269600436,6.351198303080275e-30,48
2.5,H,rm.2.5_fc.H,0.872003400309119,0.999,0.0838056163392829,0.04393354204384705,0.8076591520876295,0.07717597510003021,0.90225,0.09017529225532529,0.13912851775170615,0.124368775643998,0.0015432098765432098,0.0030864197530864196,14181.203440921341,160.49986654325403,1.4057023141180734e-35,41
3,H,rm.3_fc.H,0.8682013910355487,0.999,0.07647548195140835,0.05205490113421493,0.8052954438927149,0.07885487471479997,0.85825,0.1522593730010296,0.13756613756613756,0.11365288828425137,0.0015432098765432098,0.0030864197530864196,14206.03723997141,185.33366559332353,5.692491800340658e-41,34
3.5,H,rm.3.5_fc.H,0.8645061823802164,0.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14240.926069357942,220.22249497985467,1.511086662754582e-48,33
