rm,fc,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
0.5,L,rm.0.5_fc.L,0.7853867088607595,0.994,0.15201037636198453,0.058648843551800514,0.8093130696271795,0.12073155182021666,0.86125,0.1662876523778399,0.11768266628685373,0.20212331419354182,0.012605042016806723,0.025210084033613446,10629.618009354794,327.41143007681785,8.00582300615998e-72,10
1,L,rm.1_fc.L,0.7838791139240506,0.997,0.14906793670858431,0.056824655840127546,0.810485369238992,0.11893130667186141,0.8765,0.13850752085476564,0.10507762427004701,0.17697967672977866,0.01050420168067227,0.02100840336134454,10632.772055079697,330.5654758017208,1.6539167953465679e-72,10
1.5,L,rm.1.5_fc.L,0.7825658227848101,0.996,0.14548546844106164,0.05602774634480696,0.8114434087596871,0.11722731299909571,0.91025,0.09015311050281813,0.09877510326164364,0.16441548937223405,0.01050420168067227,0.02100840336134454,10636.658931772958,334.4523524949818,2.3685857251624086e-73,10
2,L,rm.2_fc.L,0.7812023206751055,0.997,0.14082348260417374,0.05619809030226952,0.8129317387727689,0.11441009185343584,0.93425,0.06007425960148544,0.09457342258937473,0.15604302546728757,0.01050420168067227,0.02100840336134454,10641.1297531395,338.92317386152354,2.533159774754639e-74,10
2.5,L,rm.2.5_fc.L,0.7798651898734177,0.997,0.1351188986703802,0.058384082570526886,0.8150605114246253,0.11050689710470225,0.92325,0.05789861829094023,0.08827090158097137,0.1434911027948087,0.004201680672268907,0.008403361344537815,10646.049595916438,343.84301663846236,2.1643739495469777e-75,10
3,L,rm.3_fc.L,0.778473417721519,0.998,0.1295863335968142,0.06276289480065819,0.8160721033481031,0.10839909204379986,0.9219999999999999,0.05754997827975263,0.07566585956416465,0.11842111574932374,0.0021008403361344537,0.004201680672268907,10651.375624979939,349.1690457019631,1.5093841381182227e-76,10
3.5,L,rm.3.5_fc.L,0.7770483122362869,0.998,0.12469184702062505,0.06827033330158698,0.8155331499582574,0.10869943350644293,0.91925,0.05025518215401605,0.06726249821962683,0.10693496892572177,0.0021008403361344537,0.004201680672268907,10657.103985272872,354.89740599489596,8.607997832355479e-78,10
4,L,rm.4_fc.L,0.7754381856540085,0.998,0.12008391209687824,0.0744454812347427,0.8142152129549112,0.11016116211133056,0.9075,0.07376765325443574,0.06516165788349237,0.09758461632328566,0.004201680672268907,0.008403361344537815,10663.19601663874,360.989437360764,4.092930272866941e-79,10
0.5,LQ,rm.0.5_fc.LQ,0.8174472573839663,0.994,0.16269734989151344,0.07949916936703667,0.8218441635915308,0.14074260832969465,0.8185,0.2857930486675046,0.1596994730095428,0.29700162462119956,0.014705882352941176,0.029411764705882353,10470.581245130465,168.37466585248876,2.7403153637874e-37,15
1,LQ,rm.1_fc.LQ,0.8141993670886076,0.997,0.161696082839969,0.07912043964167953,0.8224027986066117,0.1388027089810565,0.83475,0.26608191094723693,0.14919527132887053,0.276001335106699,0.012605042016806723,0.025210084033613446,10490.205002791115,187.99842351313964,1.5016050234764567e-41,15
1.5,LQ,rm.1.5_fc.LQ,0.8099200421940929,0.996,0.16054195432604385,0.07650826457127775,0.8209133713373874,0.1371480421026,0.8694999999999999,0.18585747227378296,0.15129611166500498,0.26923377633667,0.012605042016806723,0.025210084033613446,10514.92866538978,212.72208611180395,6.425110379565012e-47,15
2,LQ,rm.2_fc.LQ,0.8046029535864979,0.997,0.15941119902131576,0.07367119237887376,0.8196347060094006,0.13556132420410863,0.903,0.1231665539016173,0.13869106964819827,0.2550023822581168,0.012605042016806723,0.025210084033613446,10540.750522259796,238.54394298181978,1.5875799937752292e-52,14
2.5,LQ,rm.2.5_fc.LQ,0.8003035864978902,0.995,0.15596939808353724,0.07165626867241218,0.8191831887001275,0.1322859571223981,0.8995,0.13211737205984686,0.12398518729525708,0.22011449794477908,0.01050420168067227,0.02100840336134454,10558.473488315443,256.2669090374675,2.2503104499350606e-56,12
3,LQ,rm.3_fc.LQ,0.7987006329113924,0.995,0.15213508855262126,0.0697137637381473,0.8194251606370075,0.1285496471379928,0.9095,0.09605727458136629,0.11138014527845036,0.19493678404998005,0.008403361344537815,0.01680672268907563,10567.88929481574,265.68271553776503,2.0306077252324256e-58,12
3.5,LQ,rm.3.5_fc.LQ,0.796973417721519,0.994,0.14771654501408618,0.06746696502480029,0.8207495587077751,0.12474679500146654,0.9252499999999999,0.06773662229547618,0.10297678393391255,0.17815672774683963,0.01050420168067227,0.02100840336134454,10575.709463313937,273.50288403596096,4.0690967951624544e-60,11
4,LQ,rm.4_fc.LQ,0.7950613924050632,0.993,0.14164998445964458,0.06766047777927482,0.821516537242684,0.12089186114446573,0.917,0.08021637405584138,0.09877510326164364,0.16441548937223405,0.0063025210084033615,0.012605042016806723,10585.065433068205,282.85885379022875,3.7833367790871923e-62,11
0.5,LQH,rm.0.5_fc.LQH,0.8629835443037974,0.995,0.09496236731250438,0.09191938974526018,0.8224908061184593,0.1036768866079978,0.8140000000000001,0.2762716054899598,0.17673764421022647,0.18308339086309774,0.018907563025210083,0.032455546852259015,10344.413493301747,42.20691402377088,6.835648968901602e-10,88
1,LQH,rm.1_fc.LQH,0.8551797468354431,0.983,0.0995497992259361,0.07908437068495187,0.8391890954963404,0.100938910881695,0.86525,0.19248961010922122,0.1345962113659023,0.1660013371651138,0.0063025210084033615,0.012605042016806723,10302.206579277976,0,0.9997575249162108,54
