rm,fc,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
0.5,L,rm.0.5_fc.L,0.8003545833333333,0.994,0.08677940845703999,0.04486702222479071,0.7944125337381917,0.05982549813345705,0.88625,0.1383482923638741,0.10833333333333334,0.1136515141415488,0.020833333333333332,0.041666666666666664,10854.507311188667,223.32965616116235,3.195709543244351e-49,10
1,L,rm.1_fc.L,0.7967229166666666,0.989,0.07633701641925328,0.052774109955082686,0.7966365131578947,0.05401805854443081,0.90125,0.08412044935685971,0.07083333333333333,0.09871864246620479,0.020833333333333332,0.041666666666666664,10866.471010924699,235.2933558971945,8.066458621205731e-52,10
1.5,L,rm.1.5_fc.L,0.791695625,0.985,0.0762328497525866,0.043500434815209744,0.7982939018218623,0.052619867290007505,0.90425,0.044055835784452733,0.06458333333333334,0.09138213416442212,0.020833333333333332,0.041666666666666664,10882.405737525183,251.22808249767877,2.7957671246255223e-55,10
2,L,rm.2_fc.L,0.7857672916666667,0.989,0.0797982034412956,0.030064199792187035,0.7989480010121457,0.05574294598915459,0.90375,0.05052639574189581,0.06041666666666667,0.09363418772601764,0.020833333333333332,0.041666666666666664,10900.747542496212,269.56988746870775,2.908229330818682e-59,10
2.5,L,rm.2.5_fc.L,0.7793883333333333,0.995,0.08316358805668014,0.022482213328857605,0.7985707658569501,0.06200874951329103,0.896,0.07502444046220312,0.06041666666666667,0.08855187849608379,0.020833333333333332,0.041666666666666664,10919.520192113116,288.3425370856112,2.438931374565625e-63,10
3,L,rm.3_fc.L,0.7734789583333334,0.997,0.0855554149797571,0.027093838434563176,0.7970173329959515,0.06992502420101074,0.88225,0.09968742816089361,0.05625,0.09163509557337048,0.01875,0.0375,10937.327026741887,306.14937171438214,3.315084255380412e-67,10
3.5,L,rm.3.5_fc.L,0.768115625,0.996,0.08671938259109313,0.038918626520174415,0.7946569247638327,0.07759165556641087,0.87625,0.10820774772014552,0.06041666666666666,0.08643532156945338,0.010416666666666666,0.020833333333333332,10953.903684772378,322.7260297448738,8.335257390830967e-71,10
4,L,rm.4_fc.L,0.7631810416666667,0.998,0.08552034131803868,0.052027167743153656,0.7915498481781377,0.08366471258095437,0.85325,0.13862509392843225,0.06458333333333333,0.0867027168611867,0.008333333333333333,0.016666666666666666,10969.356341419367,338.17868639186236,3.676353454995598e-74,10
0.5,LQ,rm.0.5_fc.LQ,0.813760625,0.997,0.08576937134502927,0.05473208261014488,0.8059895833333333,0.06964864351154003,0.9192499999999999,0.061684006571125605,0.10416666666666667,0.12647280486480234,0.020833333333333332,0.041666666666666664,10770.948065746632,139.77041071912754,4.458891486719607e-31,15
1,LQ,rm.1_fc.LQ,0.81203375,0.996,0.0836246766756635,0.05309043289719244,0.809581435560054,0.06866053511715564,0.92125,0.08841332855778399,0.08958333333333333,0.1221669698343972,0.020833333333333332,0.041666666666666664,10783.985721608546,152.8080665810412,6.578636714244446e-34,13
1.5,LQ,rm.1.5_fc.LQ,0.8094777083333333,0.991,0.08366825517318938,0.04364216599561288,0.8085410340755735,0.06638212593138393,0.92475,0.07564555505778243,0.08125,0.11967838846954228,0.020833333333333332,0.041666666666666664,10799.260746814674,168.0830917871699,3.171073624966924e-37,12
2,LQ,rm.2_fc.LQ,0.8065604166666667,0.991,0.08564088506522718,0.030789971982608882,0.8089435728744939,0.06612126407292224,0.91975,0.0737896785917019,0.07083333333333335,0.125,0.020833333333333332,0.041666666666666664,10816.669165511754,185.49151048424937,5.260369318568205e-41,13
2.5,LQ,rm.2.5_fc.LQ,0.8030233333333333,0.993,0.0870402468511021,0.018409060912094783,0.8087613866396761,0.06769091634263574,0.9219999999999999,0.07102581690249446,0.06666666666666667,0.12228533723919521,0.020833333333333332,0.041666666666666664,10831.523257898321,200.34560287081695,3.129616029164887e-44,12
3,LQ,rm.3_fc.LQ,0.79912625,0.992,0.08802961932073777,0.0066288977191137815,0.8077058029689609,0.07073060249993506,0.91525,0.08809606498968424,0.06458333333333334,0.12367351733046525,0.01875,0.0375,10848.883115129942,217.70546010243743,5.319195546228059e-48,12
3.5,LQ,rm.3.5_fc.LQ,0.7947391666666667,0.994,0.08957665598290601,0.00476057246503413,0.8062594888663968,0.0750245247324138,0.91125,0.09362469403599318,0.06041666666666667,0.1153446927610809,0.016666666666666666,0.03333333333333333,10864.761098805924,233.58344377841968,1.8966430728975484e-51,11
4,LQ,rm.4_fc.LQ,0.7900920833333334,0.997,0.09015449280251914,0.015052648195504973,0.8040156882591093,0.0794673831575296,0.904,0.09670573922989265,0.0625,0.10897247358851683,0.014583333333333334,0.029166666666666667,10883.089023470227,251.91136844272296,1.9866773295546187e-55,11
0.5,H,rm.0.5_fc.H,0.8575752083333333,0.998,0.0920433395186685,0.08692851390232362,0.8116601298920378,0.0885242576469011,0.85,0.21095181124291554,0.1625,0.22417544385955754,0.014583333333333334,0.023935677693908454,10631.177655027504,0,0.9999676668319201,80
1,H,rm.1_fc.H,0.8491222916666666,0.998,0.07962185110211425,0.06411962791923542,0.8202108636977058,0.07682828563889527,0.92325,0.05548798668781077,0.10625,0.14423729804786328,0.00625,0.0125,10671.682425651772,40.50477062426762,1.6013518697901783e-9,71
1.5,H,rm.1.5_fc.H,0.8417770833333333,0.997,0.076842737854251,0.04699595914153004,0.8236939102564103,0.0704696124177671,0.88025,0.06951438700010235,0.09375,0.12441995046645082,0.00625,0.0125,10664.253161202101,33.07550617459674,6.572506870509209e-8,48
2,H,rm.2_fc.H,0.8357354166666666,0.987,0.07693485014619886,0.03716884680386365,0.8253087044534413,0.07105210066469289,0.901,0.06027160746708741,0.08333333333333334,0.11804738533819878,0.00625,0.0125,10688.518489264046,57.34083423654192,3.536567970297925e-13,42
2.5,H,rm.2.5_fc.H,0.8312983333333334,0.99,0.07620905729869543,0.033695201674853896,0.8247543437921727,0.07206316607294816,0.9045,0.05752970247330213,0.07916666666666666,0.11436216027910501,0.010416666666666666,0.020833333333333332,10698.88932828184,67.71167325433635,1.979625002419004e-15,33
3,H,rm.3_fc.H,0.8276495833333334,0.986,0.07675649460188932,0.036308030799936976,0.8224607793522267,0.07363528900196836,0.9095,0.06061078011927142,0.07708333333333334,0.10979252318873152,0.014583333333333334,0.029166666666666667,10710.376439975651,79.19878494814657,6.341446304231687e-18,26
3.5,H,rm.3.5_fc.H,0.8236327083333334,0.985,0.07915703722447143,0.03816191689343316,0.8217963478407557,0.07597840838250425,0.9125,0.052494444150468604,0.07708333333333334,0.10979252318873152,0.016666666666666666,0.03333333333333333,10735.063951612983,103.8862965854787,2.762888008186048e-23,25
4,H,rm.4_fc.H,0.82080375,0.986,0.08094572368421052,0.03928103313726898,0.8211552167678813,0.0770784840313015,0.91825,0.052124050750749086,0.06666666666666667,0.10606601717798214,0.016666666666666666,0.03333333333333333,10747.306411950327,116.1287569228225,6.066620058638531e-26,21
0.5,LQH,rm.0.5_fc.LQH,0.85822625,0.999,0.09101334064327482,0.08176269302499678,0.8156058114035087,0.08310917369455838,0.8554999999999999,0.17991572101032938,0.16041666666666665,0.21042010448236728,0.014583333333333334,0.029166666666666667,10666.942076031553,35.76442100404893,1.713328394551114e-8,92
1,LQH,rm.1_fc.LQH,0.8494270833333334,0.999,0.07697902609086821,0.06036900152244804,0.8245959851551957,0.07258478719474563,0.9165,0.0970858726420413,0.09999999999999999,0.13810892105173392,0.00625,0.0125,10652.478317661411,21.30066263390654,2.3692224338370678e-5,64
1.5,LQH,rm.1.5_fc.LQH,0.8417010416666667,0.997,0.07664312022042283,0.04068591185066279,0.8296505988529015,0.06742667470573116,0.89625,0.08427880318719923,0.08958333333333333,0.11063265039459795,0.0020833333333333333,0.004166666666666667,10654.602541456074,23.424886428569152,8.190991968363321e-6,44
2,LQH,rm.2_fc.LQH,0.8365085416666667,0.987,0.07707792116509218,0.0302327688851279,0.832264886977058,0.06676667375051053,0.9125,0.04293017586733134,0.07916666666666666,0.10419444074172807,0.0020833333333333333,0.004166666666666667,10660.82179853919,29.644143511684888,3.654617956324456e-7,32
2.5,LQH,rm.2.5_fc.LQH,0.833383125,0.991,0.07672542735042734,0.022880732413270998,0.8341457911605938,0.06836399881740055,0.921,0.052732026953898385,0.07291666666666667,0.09679469491125514,0.00625,0.0125,10679.642770761813,48.46511573430871,2.991712069690652e-11,29
3,LQH,rm.3_fc.LQH,0.8299770833333333,0.996,0.07474373031938819,0.02142957426565253,0.8354609480431849,0.06793306572503925,0.9195,0.049568134925574915,0.06875,0.09363418772601763,0.008333333333333333,0.016666666666666666,10702.129808140855,70.9521531133505,3.9167122789306547e-16,27
3.5,LQH,rm.3.5_fc.LQH,0.8265147916666666,0.997,0.07461672008547007,0.018758124895306243,0.8354398616734142,0.06733088566835019,0.9205,0.044162578427140456,0.06666666666666667,0.08949446496437229,0.0125,0.025,10710.026161473259,78.84850644575454,7.555275925726913e-18,20
4,LQH,rm.4_fc.LQH,0.8238114583333334,0.996,0.07499536099865045,0.017508287063543546,0.8330619517543859,0.06789762673434292,0.91875,0.04693523907115704,0.06458333333333334,0.09061901321221479,0.010416666666666666,0.020833333333333332,10721.014665277171,89.83701024966649,3.1054679151944946e-20,17
