"DV","Effect","df_num","df_den","F","p","sig"
"pct_change","species_cn",5,10,12.27,5e-04,"***"
"pct_change","scenario",1.0737731812034,2.1475463624068,3.03,0.218,"ns"
"pct_change","species_cn:scenario",10,20,3.99,0.0041,"**"
"lost_km2","species_cn",5,10,10.45,0.001,"**"
"lost_km2","scenario",1.02406904760693,2.04813809521385,6.42,0.1243,"ns"
"lost_km2","species_cn:scenario",10,20,5.46,6e-04,"***"
"stable_km2","species_cn",5,10,16.04,2e-04,"***"
"stable_km2","scenario",1.02406904760691,2.04813809521383,6.42,0.1243,"ns"
"stable_km2","species_cn:scenario",10,20,5.46,6e-04,"***"
"gained_km2","species_cn",5,10,10.11,0.0012,"**"
"gained_km2","scenario",1.03882641334492,2.07765282668984,0.06,0.8391,"ns"
"gained_km2","species_cn:scenario",10,20,0.97,0.4979,"ns"
