Simple main effects (Lost (丧失)): species within each SSP
===================================================

scenario = ssp126:
          contrast     estimate   SE   df t.ratio p.value
 小黄花菜 - 短瓣金莲花    -2329 3958 16.9  -0.588  0.9905
 小黄花菜 - 笃斯越桔      11854 3958 16.9   2.995  0.0741
 小黄花菜 - 偃松          13747 3958 16.9   3.473  0.0294
 小黄花菜 - 越桔          -1778 3958 16.9  -0.449  0.9973
 小黄花菜 - 杜香          10097 3958 16.9   2.551  0.1642
 短瓣金莲花 - 笃斯越桔    14183 3958 16.9   3.583  0.0236
 短瓣金莲花 - 偃松        16076 3958 16.9   4.061  0.0089
 短瓣金莲花 - 越桔          551 3958 16.9   0.139  1.0000
 短瓣金莲花 - 杜香        12427 3958 16.9   3.139  0.0563
 笃斯越桔 - 偃松           1893 3958 16.9   0.478  0.9963
 笃斯越桔 - 越桔         -13632 3958 16.9  -3.444  0.0311
 笃斯越桔 - 杜香          -1756 3958 16.9  -0.444  0.9974
 偃松 - 越桔             -15525 3958 16.9  -3.922  0.0119
 偃松 - 杜香              -3649 3958 16.9  -0.922  0.9353
 越桔 - 杜香              11876 3958 16.9   3.000  0.0734

scenario = ssp245:
          contrast     estimate   SE   df t.ratio p.value
 小黄花菜 - 短瓣金莲花    -2133 3958 16.9  -0.539  0.9936
 小黄花菜 - 笃斯越桔       9734 3958 16.9   2.459  0.1915
 小黄花菜 - 偃松          14345 3958 16.9   3.624  0.0217
 小黄花菜 - 越桔          -8279 3958 16.9  -2.091  0.3368
 小黄花菜 - 杜香           2349 3958 16.9   0.593  0.9901
 短瓣金莲花 - 笃斯越桔    11867 3958 16.9   2.998  0.0737
 短瓣金莲花 - 偃松        16478 3958 16.9   4.163  0.0073
 短瓣金莲花 - 越桔        -6147 3958 16.9  -1.553  0.6376
 短瓣金莲花 - 杜香         4481 3958 16.9   1.132  0.8613
 笃斯越桔 - 偃松           4611 3958 16.9   1.165  0.8470
 笃斯越桔 - 越桔         -18013 3958 16.9  -4.551  0.0033
 笃斯越桔 - 杜香          -7385 3958 16.9  -1.866  0.4540
 偃松 - 越桔             -22624 3958 16.9  -5.715  0.0003
 偃松 - 杜香             -11996 3958 16.9  -3.031  0.0693
 越桔 - 杜香              10628 3958 16.9   2.685  0.1303

scenario = ssp585:
          contrast     estimate   SE   df t.ratio p.value
 小黄花菜 - 短瓣金莲花    -2404 3958 16.9  -0.607  0.9890
 小黄花菜 - 笃斯越桔       2125 3958 16.9   0.537  0.9937
 小黄花菜 - 偃松          14099 3958 16.9   3.562  0.0246
 小黄花菜 - 越桔         -14468 3958 16.9  -3.655  0.0204
 小黄花菜 - 杜香          -8025 3958 16.9  -2.027  0.3681
 短瓣金莲花 - 笃斯越桔     4529 3958 16.9   1.144  0.8562
 短瓣金莲花 - 偃松        16503 3958 16.9   4.169  0.0072
 短瓣金莲花 - 越桔       -12064 3958 16.9  -3.048  0.0671
 短瓣金莲花 - 杜香        -5621 3958 16.9  -1.420  0.7152
 笃斯越桔 - 偃松          11975 3958 16.9   3.025  0.0700
 笃斯越桔 - 越桔         -16593 3958 16.9  -4.192  0.0068
 笃斯越桔 - 杜香         -10150 3958 16.9  -2.564  0.1606
 偃松 - 越桔             -28568 3958 16.9  -7.217  <.0001
 偃松 - 杜香             -22125 3958 16.9  -5.589  0.0004
 越桔 - 杜香               6443 3958 16.9   1.628  0.5929

P value adjustment: tukey method for comparing a family of 6 estimates 
