Simple main effects (Stable (保留)): species within each SSP
===================================================

scenario = ssp126:
          contrast     estimate   SE   df t.ratio p.value
 小黄花菜 - 短瓣金莲花     1571 3958 16.9   0.397  0.9985
 小黄花菜 - 笃斯越桔     -19982 3958 16.9  -5.048  0.0012
 小黄花菜 - 偃松         -22111 3958 16.9  -5.586  0.0004
 小黄花菜 - 越桔         -10210 3958 16.9  -2.579  0.1565
 小黄花菜 - 杜香         -22315 3958 16.9  -5.637  0.0004
 短瓣金莲花 - 笃斯越桔   -21553 3958 16.9  -5.445  0.0005
 短瓣金莲花 - 偃松       -23682 3958 16.9  -5.983  0.0002
 短瓣金莲花 - 越桔       -11781 3958 16.9  -2.976  0.0767
 短瓣金莲花 - 杜香       -23886 3958 16.9  -6.034  0.0002
 笃斯越桔 - 偃松          -2129 3958 16.9  -0.538  0.9937
 笃斯越桔 - 越桔           9772 3958 16.9   2.469  0.1884
 笃斯越桔 - 杜香          -2333 3958 16.9  -0.589  0.9904
 偃松 - 越桔              11901 3958 16.9   3.007  0.0725
 偃松 - 杜香               -204 3958 16.9  -0.052  1.0000
 越桔 - 杜香             -12105 3958 16.9  -3.058  0.0658

scenario = ssp245:
          contrast     estimate   SE   df t.ratio p.value
 小黄花菜 - 短瓣金莲花     1374 3958 16.9   0.347  0.9992
 小黄花菜 - 笃斯越桔     -17863 3958 16.9  -4.513  0.0035
 小黄花菜 - 偃松         -22710 3958 16.9  -5.737  0.0003
 小黄花菜 - 越桔          -3709 3958 16.9  -0.937  0.9311
 小黄花菜 - 杜香         -14567 3958 16.9  -3.680  0.0194
 短瓣金莲花 - 笃斯越桔   -19237 3958 16.9  -4.860  0.0017
 短瓣金莲花 - 偃松       -24084 3958 16.9  -6.084  0.0002
 短瓣金莲花 - 越桔        -5084 3958 16.9  -1.284  0.7893
 短瓣金莲花 - 杜香       -15941 3958 16.9  -4.027  0.0096
 笃斯越桔 - 偃松          -4847 3958 16.9  -1.224  0.8193
 笃斯越桔 - 越桔          14154 3958 16.9   3.576  0.0239
 笃斯越桔 - 杜香           3296 3958 16.9   0.833  0.9570
 偃松 - 越桔              19000 3958 16.9   4.800  0.0020
 偃松 - 杜香               8143 3958 16.9   2.057  0.3534
 越桔 - 杜香             -10858 3958 16.9  -2.743  0.1175

scenario = ssp585:
          contrast     estimate   SE   df t.ratio p.value
 小黄花菜 - 短瓣金莲花     1646 3958 16.9   0.416  0.9981
 小黄花菜 - 笃斯越桔     -10253 3958 16.9  -2.590  0.1535
 小黄花菜 - 偃松         -22464 3958 16.9  -5.675  0.0003
 小黄花菜 - 越桔           2480 3958 16.9   0.627  0.9874
 小黄花菜 - 杜香          -4193 3958 16.9  -1.059  0.8906
 短瓣金莲花 - 笃斯越桔   -11899 3958 16.9  -3.006  0.0725
 短瓣金莲花 - 偃松       -24110 3958 16.9  -6.091  0.0002
 短瓣金莲花 - 越桔          834 3958 16.9   0.211  0.9999
 短瓣金莲花 - 杜香        -5838 3958 16.9  -1.475  0.6836
 笃斯越桔 - 偃松         -12210 3958 16.9  -3.085  0.0625
 笃斯越桔 - 越桔          12734 3958 16.9   3.217  0.0485
 笃斯越桔 - 杜香           6061 3958 16.9   1.531  0.6505
 偃松 - 越桔              24944 3958 16.9   6.301  0.0001
 偃松 - 杜香              18271 3958 16.9   4.616  0.0029
 越桔 - 杜香              -6673 3958 16.9  -1.686  0.5583

P value adjustment: tukey method for comparing a family of 6 estimates 
