"species","variable","permutation","score"
"P. pumila","bio3",1,0.18830075677158
"P. pumila","bio3",2,0.192561979358238
"P. pumila","bio3",3,0.192484071423485
"P. pumila","bio3",4,0.192225198325128
"P. pumila","bio3",5,0.194775438576089
"P. pumila","bio3",6,0.186588177357087
"P. pumila","bio3",7,0.187065986897392
"P. pumila","bio3",8,0.18852779585453
"P. pumila","bio3",9,0.190412293735592
"P. pumila","bio3",10,0.186975947379114
"P. pumila","bio3",11,0.189557914350166
"P. pumila","bio3",12,0.190945474224639
"P. pumila","bio3",13,0.189907886985391
"P. pumila","bio3",14,0.189403291915341
"P. pumila","bio3",15,0.194782722899115
"P. pumila","bio3",16,0.188743556887292
"P. pumila","bio3",17,0.194821891037768
"P. pumila","bio3",18,0.18962929394099
"P. pumila","bio3",19,0.1940994766584
"P. pumila","bio3",20,0.19140631438635
"P. pumila","bio3",21,0.191180816599756
"P. pumila","bio3",22,0.191482374436677
"P. pumila","bio3",23,0.188865170290938
"P. pumila","bio3",24,0.192225743435999
"P. pumila","bio3",25,0.187622060601104
"P. pumila","bio3",26,0.190287704280547
"P. pumila","bio3",27,0.193280172620316
"P. pumila","bio3",28,0.18703366259893
"P. pumila","bio3",29,0.189912075158356
"P. pumila","bio3",30,0.191136307290932
"P. pumila","bio3",31,0.187712547969954
"P. pumila","bio3",32,0.189744077587315
"P. pumila","bio3",33,0.187845263135961
"P. pumila","bio3",34,0.18837809426903
"P. pumila","bio3",35,0.191390745007071
"P. pumila","bio3",36,0.19235332995068
"P. pumila","bio3",37,0.19390707595304
"P. pumila","bio3",38,0.189844247258321
"P. pumila","bio3",39,0.192706236405394
"P. pumila","bio3",40,0.188485286039983
"P. pumila","bio3",41,0.191456506718713
"P. pumila","bio3",42,0.190285163702407
"P. pumila","bio3",43,0.193154966060157
"P. pumila","bio3",44,0.186760477108328
"P. pumila","bio3",45,0.188323722824036
"P. pumila","bio3",46,0.18937090197067
"P. pumila","bio3",47,0.189574652971062
"P. pumila","bio3",48,0.196105193526959
"P. pumila","bio3",49,0.188204227705082
"P. pumila","bio3",50,0.188399325156613
"P. pumila","bio3",51,0.187501941352952
"P. pumila","bio3",52,0.185180252917614
"P. pumila","bio3",53,0.190593896705172
"P. pumila","bio3",54,0.188448186896072
"P. pumila","bio3",55,0.190651553482109
"P. pumila","bio3",56,0.190591834427693
"P. pumila","bio3",57,0.192092698755813
"P. pumila","bio3",58,0.188541162559232
"P. pumila","bio3",59,0.195325619770468
"P. pumila","bio3",60,0.185697160937946
"P. pumila","bio3",61,0.194435468278712
"P. pumila","bio3",62,0.194674595417507
"P. pumila","bio3",63,0.194621818999458
"P. pumila","bio3",64,0.193899825944278
"P. pumila","bio3",65,0.192000257324959
"P. pumila","bio3",66,0.183495894177198
"P. pumila","bio3",67,0.18986779075371
"P. pumila","bio3",68,0.190843885850762
"P. pumila","bio3",69,0.19038402352909
"P. pumila","bio3",70,0.186323784369776
"P. pumila","bio3",71,0.191481436373568
"P. pumila","bio3",72,0.190979783913933
"P. pumila","bio3",73,0.189437383167314
"P. pumila","bio3",74,0.186257363484818
"P. pumila","bio3",75,0.185665494708872
"P. pumila","bio3",76,0.190763000390301
"P. pumila","bio3",77,0.189100675297817
"P. pumila","bio3",78,0.192041990712396
"P. pumila","bio3",79,0.190858763203752
"P. pumila","bio3",80,0.187628206878933
"P. pumila","bio3",81,0.189970372873652
"P. pumila","bio3",82,0.196507414212748
"P. pumila","bio3",83,0.18867643475216
"P. pumila","bio3",84,0.183800317839971
"P. pumila","bio3",85,0.190347011678557
"P. pumila","bio3",86,0.185841402619637
"P. pumila","bio3",87,0.190631547970578
"P. pumila","bio3",88,0.19076676159819
"P. pumila","bio3",89,0.189934238448527
"P. pumila","bio3",90,0.192679291822309
"P. pumila","bio3",91,0.188207272917135
"P. pumila","bio3",92,0.190596062715039
"P. pumila","bio3",93,0.189736698610207
"P. pumila","bio3",94,0.187986976499001
"P. pumila","bio3",95,0.191073348507346
"P. pumila","bio3",96,0.188740894948233
"P. pumila","bio3",97,0.190468091774475
"P. pumila","bio3",98,0.189409462273777
"P. pumila","bio3",99,0.183043381481923
"P. pumila","bio3",100,0.18823683377908
"P. pumila","bio4",1,0.0141895536407843
"P. pumila","bio4",2,0.0143126470391391
"P. pumila","bio4",3,0.0143766250707315
"P. pumila","bio4",4,0.0143319295359763
"P. pumila","bio4",5,0.0138356190694139
"P. pumila","bio4",6,0.014532647406692
"P. pumila","bio4",7,0.0140372384314966
"P. pumila","bio4",8,0.0137969665978793
"P. pumila","bio4",9,0.0143695291593664
"P. pumila","bio4",10,0.0137048952427226
"P. pumila","bio4",11,0.0139394247757176
"P. pumila","bio4",12,0.0141223867776823
"P. pumila","bio4",13,0.0140909991319168
"P. pumila","bio4",14,0.0141374018036907
"P. pumila","bio4",15,0.0144141603543373
"P. pumila","bio4",16,0.0138620554675958
"P. pumila","bio4",17,0.0141550360398437
"P. pumila","bio4",18,0.0137860091259641
"P. pumila","bio4",19,0.0140976533077732
"P. pumila","bio4",20,0.0139180822093886
"P. pumila","bio4",21,0.0138844647318346
"P. pumila","bio4",22,0.0140494554507388
"P. pumila","bio4",23,0.0140484577589789
"P. pumila","bio4",24,0.0144566686052879
"P. pumila","bio4",25,0.0143577569594756
"P. pumila","bio4",26,0.0137233541169153
"P. pumila","bio4",27,0.013909742787379
"P. pumila","bio4",28,0.0137191226167481
"P. pumila","bio4",29,0.0144360198642722
"P. pumila","bio4",30,0.0139602398411542
"P. pumila","bio4",31,0.0139511158053061
"P. pumila","bio4",32,0.0141523540020265
"P. pumila","bio4",33,0.0140378230077648
"P. pumila","bio4",34,0.0142677471707093
"P. pumila","bio4",35,0.0134712777567066
"P. pumila","bio4",36,0.0140076334323853
"P. pumila","bio4",37,0.0140351795030875
"P. pumila","bio4",38,0.0143617484480197
"P. pumila","bio4",39,0.0144932414065294
"P. pumila","bio4",40,0.0140132155244591
"P. pumila","bio4",41,0.0139144973470698
"P. pumila","bio4",42,0.0136777765772305
"P. pumila","bio4",43,0.0137853429177413
"P. pumila","bio4",44,0.0143757354018631
"P. pumila","bio4",45,0.0139211675881549
"P. pumila","bio4",46,0.0141202748501302
"P. pumila","bio4",47,0.0135730509823763
"P. pumila","bio4",48,0.013819236441715
"P. pumila","bio4",49,0.0140499234043211
"P. pumila","bio4",50,0.0143159216255732
"P. pumila","bio4",51,0.0139782060268301
"P. pumila","bio4",52,0.0142118433967445
"P. pumila","bio4",53,0.0139470984737624
"P. pumila","bio4",54,0.0140176929881458
"P. pumila","bio4",55,0.0142380993239211
"P. pumila","bio4",56,0.0140443710472189
"P. pumila","bio4",57,0.0142976025873713
"P. pumila","bio4",58,0.0136204194845128
"P. pumila","bio4",59,0.0139101344238405
"P. pumila","bio4",60,0.0140997750677567
"P. pumila","bio4",61,0.0138330410359008
"P. pumila","bio4",62,0.0141329508165995
"P. pumila","bio4",63,0.0142367953320369
"P. pumila","bio4",64,0.0140620838612536
"P. pumila","bio4",65,0.0144317008246287
"P. pumila","bio4",66,0.0141122449632848
"P. pumila","bio4",67,0.0145093449669954
"P. pumila","bio4",68,0.013706824062422
"P. pumila","bio4",69,0.0142717575535999
"P. pumila","bio4",70,0.0142433466472169
"P. pumila","bio4",71,0.0142971326342306
"P. pumila","bio4",72,0.0145409164836338
"P. pumila","bio4",73,0.0142389855549461
"P. pumila","bio4",74,0.0142310322562784
"P. pumila","bio4",75,0.0140781984295344
"P. pumila","bio4",76,0.0138636361856157
"P. pumila","bio4",77,0.0145444928621628
"P. pumila","bio4",78,0.0137215774897019
"P. pumila","bio4",79,0.0140768737874865
"P. pumila","bio4",80,0.0141878240278606
"P. pumila","bio4",81,0.0142669714198685
"P. pumila","bio4",82,0.0140846428433639
"P. pumila","bio4",83,0.0139515738820869
"P. pumila","bio4",84,0.0139287693300282
"P. pumila","bio4",85,0.0143135819688138
"P. pumila","bio4",86,0.0143379648215127
"P. pumila","bio4",87,0.0141581712097046
"P. pumila","bio4",88,0.0141775617741727
"P. pumila","bio4",89,0.0139931193533123
"P. pumila","bio4",90,0.0140146936993919
"P. pumila","bio4",91,0.0137590598437962
"P. pumila","bio4",92,0.013847903735916
"P. pumila","bio4",93,0.0138790449240502
"P. pumila","bio4",94,0.0142674293803859
"P. pumila","bio4",95,0.0145895287665542
"P. pumila","bio4",96,0.0137982418611402
"P. pumila","bio4",97,0.0140280380840916
"P. pumila","bio4",98,0.0142117778194447
"P. pumila","bio4",99,0.0139592985477243
"P. pumila","bio4",100,0.0140929773932107
"P. pumila","bio9",1,0.048765516255479
"P. pumila","bio9",2,0.0483019247376761
"P. pumila","bio9",3,0.0476347920194087
"P. pumila","bio9",4,0.0486886344795213
"P. pumila","bio9",5,0.0487593312657433
"P. pumila","bio9",6,0.0498496542930235
"P. pumila","bio9",7,0.0465326607135551
"P. pumila","bio9",8,0.0491643886783178
"P. pumila","bio9",9,0.0474341979005288
"P. pumila","bio9",10,0.0484376405198257
"P. pumila","bio9",11,0.0503783455390444
"P. pumila","bio9",12,0.0504230202612463
"P. pumila","bio9",13,0.0482181407657493
"P. pumila","bio9",14,0.0496195120684669
"P. pumila","bio9",15,0.0477306117536688
"P. pumila","bio9",16,0.0497151218665115
"P. pumila","bio9",17,0.0488094143510153
"P. pumila","bio9",18,0.0503875172882819
"P. pumila","bio9",19,0.0488165248254082
"P. pumila","bio9",20,0.0492655222676593
"P. pumila","bio9",21,0.0507759604149622
"P. pumila","bio9",22,0.0474762939266
"P. pumila","bio9",23,0.0498386352992408
"P. pumila","bio9",24,0.0492550655678785
"P. pumila","bio9",25,0.0503319304243834
"P. pumila","bio9",26,0.050797851132917
"P. pumila","bio9",27,0.0489010512012109
"P. pumila","bio9",28,0.0476719443830361
"P. pumila","bio9",29,0.0498911442807253
"P. pumila","bio9",30,0.0505731852695548
"P. pumila","bio9",31,0.048655244700279
"P. pumila","bio9",32,0.0482030805354081
"P. pumila","bio9",33,0.0477090260157178
"P. pumila","bio9",34,0.0483562524254505
"P. pumila","bio9",35,0.0495401033626969
"P. pumila","bio9",36,0.0499114897340365
"P. pumila","bio9",37,0.0468116147106337
"P. pumila","bio9",38,0.0491049221932964
"P. pumila","bio9",39,0.0487182891887296
"P. pumila","bio9",40,0.0504657493506209
"P. pumila","bio9",41,0.0495622515122341
"P. pumila","bio9",42,0.0485694762556453
"P. pumila","bio9",43,0.0482275214035127
"P. pumila","bio9",44,0.0494300018495352
"P. pumila","bio9",45,0.0489852730354151
"P. pumila","bio9",46,0.0495498382281673
"P. pumila","bio9",47,0.0497395316558729
"P. pumila","bio9",48,0.0503011021412412
"P. pumila","bio9",49,0.0497679753426782
"P. pumila","bio9",50,0.0470237793660431
"P. pumila","bio9",51,0.0499244647313404
"P. pumila","bio9",52,0.0486660697283822
"P. pumila","bio9",53,0.0491969408581819
"P. pumila","bio9",54,0.0486598355562358
"P. pumila","bio9",55,0.0481259812232071
"P. pumila","bio9",56,0.0492690518081418
"P. pumila","bio9",57,0.0484464589932166
"P. pumila","bio9",58,0.048761748053527
"P. pumila","bio9",59,0.050037477694044
"P. pumila","bio9",60,0.0479264531301832
"P. pumila","bio9",61,0.0481956308287192
"P. pumila","bio9",62,0.047175451579036
"P. pumila","bio9",63,0.0494521404651671
"P. pumila","bio9",64,0.0485755647747275
"P. pumila","bio9",65,0.0482168892756244
"P. pumila","bio9",66,0.0480335182054057
"P. pumila","bio9",67,0.0479368932055261
"P. pumila","bio9",68,0.0480476298097066
"P. pumila","bio9",69,0.0501234338334735
"P. pumila","bio9",70,0.0484678131419307
"P. pumila","bio9",71,0.0499680540410242
"P. pumila","bio9",72,0.0503001379964895
"P. pumila","bio9",73,0.0503075023091429
"P. pumila","bio9",74,0.0479221513124786
"P. pumila","bio9",75,0.0494994550855091
"P. pumila","bio9",76,0.0483610819360006
"P. pumila","bio9",77,0.0491144821786472
"P. pumila","bio9",78,0.049371072287458
"P. pumila","bio9",79,0.0484715325771099
"P. pumila","bio9",80,0.0497415104640542
"P. pumila","bio9",81,0.0492334331744418
"P. pumila","bio9",82,0.047109310480684
"P. pumila","bio9",83,0.0482745405184888
"P. pumila","bio9",84,0.0490316721178873
"P. pumila","bio9",85,0.047943783519488
"P. pumila","bio9",86,0.0470781929452657
"P. pumila","bio9",87,0.0463526014838073
"P. pumila","bio9",88,0.0486481449241901
"P. pumila","bio9",89,0.0495715033483526
"P. pumila","bio9",90,0.0511804121050955
"P. pumila","bio9",91,0.0490892817331061
"P. pumila","bio9",92,0.0487870418884355
"P. pumila","bio9",93,0.0479264431684927
"P. pumila","bio9",94,0.0494492914304401
"P. pumila","bio9",95,0.0499404603035043
"P. pumila","bio9",96,0.0480299035703285
"P. pumila","bio9",97,0.0479535881509732
"P. pumila","bio9",98,0.0497590297841123
"P. pumila","bio9",99,0.0489258479451224
"P. pumila","bio9",100,0.0490298884655561
"P. pumila","bio12",1,0.12806119233829
"P. pumila","bio12",2,0.129221479898547
"P. pumila","bio12",3,0.129215280286941
"P. pumila","bio12",4,0.127391438879806
"P. pumila","bio12",5,0.129076615388668
"P. pumila","bio12",6,0.128610256934966
"P. pumila","bio12",7,0.13251350739468
"P. pumila","bio12",8,0.130898618916966
"P. pumila","bio12",9,0.130550765778624
"P. pumila","bio12",10,0.125597460005048
"P. pumila","bio12",11,0.127896618653179
"P. pumila","bio12",12,0.128350348162718
"P. pumila","bio12",13,0.128111043261668
"P. pumila","bio12",14,0.131437410316461
"P. pumila","bio12",15,0.129283075069747
"P. pumila","bio12",16,0.131413984389258
"P. pumila","bio12",17,0.129821338107394
"P. pumila","bio12",18,0.126850902962224
"P. pumila","bio12",19,0.130636049840351
"P. pumila","bio12",20,0.127770316363077
"P. pumila","bio12",21,0.129478601796145
"P. pumila","bio12",22,0.128624001957592
"P. pumila","bio12",23,0.129499177219888
"P. pumila","bio12",24,0.129843777888631
"P. pumila","bio12",25,0.127144125013167
"P. pumila","bio12",26,0.125721091832309
"P. pumila","bio12",27,0.131767049735442
"P. pumila","bio12",28,0.124123097818634
"P. pumila","bio12",29,0.134375886030505
"P. pumila","bio12",30,0.127301514282927
"P. pumila","bio12",31,0.131456846639758
"P. pumila","bio12",32,0.130751669834044
"P. pumila","bio12",33,0.12887040463529
"P. pumila","bio12",34,0.127432284734104
"P. pumila","bio12",35,0.132345594763955
"P. pumila","bio12",36,0.126912077371749
"P. pumila","bio12",37,0.128730664912636
"P. pumila","bio12",38,0.127889590432712
"P. pumila","bio12",39,0.12675560742771
"P. pumila","bio12",40,0.128715415921129
"P. pumila","bio12",41,0.12748142080919
"P. pumila","bio12",42,0.128664663508427
"P. pumila","bio12",43,0.128646222760354
"P. pumila","bio12",44,0.127773156256271
"P. pumila","bio12",45,0.129371548956499
"P. pumila","bio12",46,0.129404777735287
"P. pumila","bio12",47,0.130457854475499
