"species","variable","perm_imp","perm_imp_raw","perm_imp_sd","n_perm"
"P. pumila","bio3",18.6029867603803,0.190062831655028,0.00272893343088463,100
"P. pumila","bio4",1.37836501707096,0.0140824675936813,0.000240871735915226,100
"P. pumila","bio9",4.78691279218479,0.0489068885489932,0.00102134432038194,100
"P. pumila","bio12",12.6225538652578,0.128961997406699,0.00181594314686761,100
"P. pumila","bio14",7.2881648922925,0.0744616590249916,0.00118407444218251,100
"P. pumila","bio15",17.8140278005876,0.182002202687793,0.00290499184885374,100
"P. pumila","elevation",36.1324040664684,0.369157228343704,0.00556918628701613,100
"P. pumila","pop_density",0.0852627855797463,0.000871112078442975,1.89529414657087e-05,100
"P. pumila","slope",0.000845166844429514,8.6348931890512e-06,1.39164214864344e-07,100
"P. pumila","aspect",1.28847685333337,0.0131640989923218,0.000198957765881595,100
"R. tomentosum","bio3",0.967742816769302,0.0227202975644863,0.000297506218400724,100
"R. tomentosum","bio4",15.932929624656,0.374067258235718,0.00439228185971765,100
"R. tomentosum","bio9",40.3639210301037,0.947648776908464,0.00878838510910269,100
"R. tomentosum","bio12",4.13486365767108,0.0970767553764881,0.00135925998813551,100
"R. tomentosum","bio14",0.521428114190599,0.0122418908284426,0.000137890939721737,100
"R. tomentosum","bio15",13.6305666396669,0.320013256269529,0.00387730808879422,100
"R. tomentosum","elevation",19.4880416047873,0.457532824359271,0.00453025292972583,100
"R. tomentosum","pop_density",1.22397242467896,0.028735958787345,0.000450119292948758,100
"R. tomentosum","slope",2.68699343679107,0.0630842093372709,0.000954467439124972,100
"R. tomentosum","aspect",1.04954065068514,0.0246407159798899,0.000328845445397097,100
"V. vitis-idaea","bio3",0.773443064115652,0.0207714367514477,0.000292764925441061,100
"V. vitis-idaea","bio4",14.3362141867371,0.385010584554792,0.00492931361592945,100
"V. vitis-idaea","bio9",41.1595381703187,1.10537256520764,0.00852844221312653,100
"V. vitis-idaea","bio12",0.0178996950220842,0.000480710733952397,6.42409464573771e-06,100
"V. vitis-idaea","bio14",0.431494636316122,0.0115881361701488,0.000166547797007769,100
"V. vitis-idaea","bio15",20.5540226860225,0.551994842307744,0.00623213605476694,100
"V. vitis-idaea","elevation",17.1214794080937,0.459811126528191,0.00514885083941671,100
"V. vitis-idaea","pop_density",4.06298822769466,0.109114822937784,0.00148379909461014,100
"V. vitis-idaea","slope",0.941492341006702,0.0252845355017224,0.000353916087633446,100
"V. vitis-idaea","aspect",0.601427584672798,0.0161518224355542,0.000199164795473733,100
"V. uliginosum","bio3",2.05195672158664,0.0399782734293515,0.000598391813805584,100
"V. uliginosum","bio4",11.5351188041931,0.224738723162498,0.00299662568329372,100
"V. uliginosum","bio9",21.537472792732,0.419614588956478,0.00508939850520623,100
"V. uliginosum","bio12",2.21508416252142,0.043156485410586,0.000541519937306361,100
"V. uliginosum","bio14",8.10050851421638,0.157822209840627,0.00210705038525787,100
"V. uliginosum","bio15",9.07995548338543,0.176904775438167,0.0020604943814424,100
"V. uliginosum","elevation",31.1560849580477,0.607014012692152,0.00544797916060184,100
"V. uliginosum","pop_density",6.75057978002974,0.131521547902825,0.00180863488962792,100
"V. uliginosum","slope",7.57090041535421,0.147503855089783,0.0020653487696084,100
"V. uliginosum","aspect",0.0023383679333155,4.55584231543782e-05,5.05111651610591e-07,100
"H. minor","bio3",0,0,0,100
"H. minor","bio4",0.0699795133231041,0.000824137001013946,2.54651930025387e-05,100
"H. minor","bio9",30.2955280355454,0.356785356652446,0.00473495339335758,100
"H. minor","bio12",30.5295740908668,0.359541677823774,0.00554954678034043,100
"H. minor","bio14",2.12655626996357,0.0250440968162115,0.000701399039456223,100
"H. minor","bio15",0,0,0,100
"H. minor","elevation",0.15221536495428,0.00179261484432541,3.1595941737139e-05,100
"H. minor","pop_density",3.37985140474199,0.0398039435872613,0.000625883717595986,100
"H. minor","slope",2.3659338865414,0.0278632068909766,0.000526167976185781,100
"H. minor","aspect",31.0803614340635,0.366028208061885,0.00508857097066265,100
"T. ledebourii","bio3",2.59944075907577,0.044188532262313,0.000707950551261873,100
"T. ledebourii","bio4",25.4508965212873,0.432646044388239,0.00487673005575117,100
"T. ledebourii","bio9",3.476821028515,0.0591033350740596,0.000803402782041435,100
"T. ledebourii","bio12",25.3911272409876,0.431630011704441,0.00564919380216419,100
"T. ledebourii","bio14",14.0250831320186,0.238415834751002,0.00443864433024847,100
"T. ledebourii","bio15",0.48425643981503,0.00823199422386819,0.000115652268518296,100
"T. ledebourii","elevation",16.88180946275,0.286978027672453,0.00385769554067204,100
"T. ledebourii","pop_density",0.311897849026066,0.00530202818283677,0.000330066090831838,100
"T. ledebourii","slope",10.4012124908296,0.176812767174433,0.00259707763634047,100
"T. ledebourii","aspect",0.977455075694943,0.0166159990361406,0.000267757171835416,100
