"species_cn","scenario_label","current_area","future_mean","future_sd","future_cv","delta_mean","delta_sd","pct_mean","pct_sd"
"小黄花菜","SSP1-2.6",20720.5296425207,6410.53560879053,5579.78601268609,87.0408707352742,-14309.9940337302,5579.78601268609,-69.0619124154267,26.9287808224543
"小黄花菜","SSP2-4.5",20720.5296425207,6455.95564252324,5832.98878062768,90.350508950336,-14264.5739999975,5832.98878062768,-68.8427093616616,28.1507706668741
"小黄花菜","SSP5-8.5",20720.5296425207,7102.16576059489,6425.90867333264,90.4781568037408,-13618.3638819258,6425.90867333264,-65.7240143803057,31.0122800150146
"短瓣金莲花","SSP1-2.6",21478.6737748675,4829.29132505542,4699.43783055719,97.3111273319851,-16649.3824498121,4699.43783055719,-77.515877490042,21.8795530851447
"短瓣金莲花","SSP2-4.5",21478.6737748675,5013.92348038823,4950.94236701648,98.7438756570958,-16464.7502944792,4950.94236701648,-76.656270620139,23.0505031125788
"短瓣金莲花","SSP5-8.5",21478.6737748675,4988.98781385484,4380.73570462141,87.8081059339479,-16489.6859610126,4380.73570462141,-76.7723656211375,20.3957458013417
"笃斯越桔","SSP1-2.6",28849.2846518159,29567.7475067837,2214.68574454543,7.49020784906703,718.46285496779,2214.68574454543,2.49040093589484,7.67674405544066
"笃斯越桔","SSP2-4.5",28849.2846518159,26603.516784966,6264.92176263541,23.5492240115254,-2245.76786684984,6264.92176263541,-7.78448371928171,21.716038502331
"笃斯越桔","SSP5-8.5",28849.2846518159,17229.6629092631,8920.63962076699,51.7748934947012,-11619.6217425528,8920.63962076699,-40.2769839279929,30.9215279631049
"偃松","SSP1-2.6",29084.9231296005,55243.6938573703,11721.7843691782,21.21832113443,26158.7707277698,11721.7843691782,89.9392809505051,40.3019265925054
"偃松","SSP2-4.5",29084.9231296005,59264.4337677199,19107.4289616548,32.2409710966684,30179.5106381194,19107.4289616548,103.763418949541,65.695305009105
"偃松","SSP5-8.5",29084.9231296005,63477.8265758369,21106.227721261,33.2497643032018,34392.9034462364,21106.227721261,118.249937581007,72.5675898375699
"越桔","SSP1-2.6",32708.698466086,17132.3904422177,10035.1463696511,58.5741166914013,-15576.3080238683,10035.1463696511,-47.6213018381596,30.6803597827533
"越桔","SSP2-4.5",32708.698466086,10154.771688966,9707.79931098412,95.5984005187678,-22553.92677712,9707.79931098412,-68.9539108396657,29.6795646609102
"越桔","SSP5-8.5",32708.698466086,4139.23583980086,6880.8570882354,166.234961102541,-28569.4626262851,6880.8570882354,-87.34515271498,21.036780461839
"杜香","SSP1-2.6",32938.3178981571,33970.0803239991,701.857197436899,2.06610402666918,1031.76242584196,701.857197436899,3.13240775995935,2.13082282952939
"杜香","SSP2-4.5",32938.3178981571,22415.2714265435,9346.41027353614,41.6966187724517,-10523.0464716137,9346.41027353614,-31.9477348665774,28.3754935587013
"杜香","SSP5-8.5",32938.3178981571,10953.3764241998,12336.7350316904,112.629517638364,-21984.9414739574,12336.7350316904,-66.7457929756255,37.4540529660158
