"sp_latin","scen","unfilling_pct_m","unfilling_pct_se","stability_pct_m","stability_pct_se","expansion_pct_m","expansion_pct_se"
"H. minor","SSP1-2.6",69.1133631128783,15.5171505761339,30.886636887129,15.5171505761375,0.0514506974443093,0.0489816614329183
"H. minor","SSP2-4.5",69.2597025550518,15.9685107055863,30.740297444955,15.9685107055894,0.416993193383737,0.36720397188135
"H. minor","SSP5-8.5",68.0571041221961,16.3100334991545,31.9428958778106,16.3100334991577,2.33308974188394,2.21097067313056
"T. ledebourii","SSP1-2.6",77.5175556071756,12.6307440191023,22.4824443928294,12.6307440191045,0.00167811712852852,0.00167811712852852
"T. ledebourii","SSP2-4.5",76.743576770928,13.2336728316147,23.2564232290765,13.2336728316165,0.0873061507845415,0.0873061507845415
"T. ledebourii","SSP5-8.5",76.8469744463597,11.7281682737987,23.1530255536443,11.7281682738006,0.0746088252181554,0.0746088252181554
"V. uliginosum","SSP1-2.6",8.55112975252339,2.85496093763666,91.4488702474753,2.85496093763857,11.0415306884182,7.23518762282051
"V. uliginosum","SSP2-4.5",16.0031622227928,8.48409600014632,83.9968377772053,8.4840960001475,8.21867850351018,6.12313351081522
"V. uliginosum","SSP5-8.5",41.5159599058419,17.3995451782142,58.4840400941559,17.3995451782152,1.23897597785066,0.604764380353926
"P. pumila","SSP1-2.6",1.97289183267266,1.97088334334406,98.0271081673269,1.97088334334454,91.9121727831327,24.4062104830344
"P. pumila","SSP2-4.5",0.0199580552888434,0.0199580552888434,99.9800419447111,0.0199580552888582,103.783377004799,37.9154463041775
"P. pumila","SSP5-8.5",0.00799812191792637,0.00610232412092652,99.9920018780821,0.00610232412092877,118.257935702882,41.8932940702752
"V. vitis-idaea","SSP1-2.6",49.2186395333654,17.0087424830739,50.7813604666243,17.0087424830734,1.59733769521643,0.841107135965981
"V. vitis-idaea","SSP2-4.5",69.1865225728094,16.9232458163192,30.8134774271842,16.9232458163157,0.232611733150272,0.232611733150272
"V. vitis-idaea","SSP5-8.5",87.3467487264099,12.1439952648534,12.6532512735871,12.1439952648509,0.00159601143293134,0.00159601143293134
"R. tomentosum","SSP1-2.6",12.8215800791684,7.27449711395689,87.1784199208284,7.27449711395931,15.9539878391249,7.81951291743961
"R. tomentosum","SSP2-4.5",36.438088744237,15.1526856036715,63.5619112557519,15.1526856036766,4.49035387766907,2.23580850146468
"R. tomentosum","SSP5-8.5",67.1768054171326,21.4266924549236,32.8231945828614,21.4266924549224,0.431012441512809,0.233440867062402
