简单主效应: 每个SSP情景下物种间差异 (GCM作随机重复)
==============================================

scenario = ssp126:
          contrast     estimate   SE   df t.ratio p.value
 小黄花菜 - 短瓣金莲花    8.454 29.5 13.1   0.287  0.9997
 小黄花菜 - 笃斯越桔    -71.552 29.5 13.1  -2.427  0.2157
 小黄花菜 - 偃松       -159.001 29.5 13.1  -5.393  0.0013
 小黄花菜 - 越桔        -21.441 29.5 13.1  -0.727  0.9749
 小黄花菜 - 杜香        -72.194 29.5 13.1  -2.449  0.2087
 短瓣金莲花 - 笃斯越桔  -80.006 29.5 13.1  -2.714  0.1376
 短瓣金莲花 - 偃松     -167.455 29.5 13.1  -5.680  0.0008
 短瓣金莲花 - 越桔      -29.895 29.5 13.1  -1.014  0.9052
 短瓣金莲花 - 杜香      -80.648 29.5 13.1  -2.735  0.1328
 笃斯越桔 - 偃松        -87.449 29.5 13.1  -2.966  0.0906
 笃斯越桔 - 越桔         50.112 29.5 13.1   1.700  0.5545
 笃斯越桔 - 杜香         -0.642 29.5 13.1  -0.022  1.0000
 偃松 - 越桔            137.561 29.5 13.1   4.666  0.0046
 偃松 - 杜香             86.807 29.5 13.1   2.944  0.0940
 越桔 - 杜香            -50.754 29.5 13.1  -1.721  0.5420

scenario = ssp245:
          contrast     estimate   SE   df t.ratio p.value
 小黄花菜 - 短瓣金莲花    7.814 29.5 13.1   0.265  0.9998
 小黄花菜 - 笃斯越桔    -61.058 29.5 13.1  -2.071  0.3573
 小黄花菜 - 偃松       -172.606 29.5 13.1  -5.854  0.0006
 小黄花菜 - 越桔          0.111 29.5 13.1   0.004  1.0000
 小黄花菜 - 杜香        -36.895 29.5 13.1  -1.251  0.8048
 短瓣金莲花 - 笃斯越桔  -68.872 29.5 13.1  -2.336  0.2469
 短瓣金莲花 - 偃松     -180.420 29.5 13.1  -6.119  0.0004
 短瓣金莲花 - 越桔       -7.702 29.5 13.1  -0.261  0.9998
 短瓣金莲花 - 杜香      -44.709 29.5 13.1  -1.516  0.6608
 笃斯越桔 - 偃松       -111.548 29.5 13.1  -3.783  0.0217
 笃斯越桔 - 越桔         61.169 29.5 13.1   2.075  0.3556
 笃斯越桔 - 杜香         24.163 29.5 13.1   0.820  0.9586
 偃松 - 越桔            172.717 29.5 13.1   5.858  0.0006
 偃松 - 杜香            135.711 29.5 13.1   4.603  0.0051
 越桔 - 杜香            -37.006 29.5 13.1  -1.255  0.8029

scenario = ssp585:
          contrast     estimate   SE   df t.ratio p.value
 小黄花菜 - 短瓣金莲花   11.048 29.5 13.1   0.375  0.9988
 小黄花菜 - 笃斯越桔    -25.447 29.5 13.1  -0.863  0.9490
 小黄花菜 - 偃松       -183.974 29.5 13.1  -6.240  0.0003
 小黄花菜 - 越桔         21.621 29.5 13.1   0.733  0.9740
 小黄花菜 - 杜香          1.022 29.5 13.1   0.035  1.0000
 短瓣金莲花 - 笃斯越桔  -36.495 29.5 13.1  -1.238  0.8114
 短瓣金莲花 - 偃松     -195.022 29.5 13.1  -6.615  0.0002
 短瓣金莲花 - 越桔       10.573 29.5 13.1   0.359  0.9990
 短瓣金莲花 - 杜香      -10.027 29.5 13.1  -0.340  0.9992
 笃斯越桔 - 偃松       -158.527 29.5 13.1  -5.377  0.0014
 笃斯越桔 - 越桔         47.068 29.5 13.1   1.596  0.6144
 笃斯越桔 - 杜香         26.469 29.5 13.1   0.898  0.9404
 偃松 - 越桔            205.595 29.5 13.1   6.973  0.0001
 偃松 - 杜香            184.996 29.5 13.1   6.275  0.0003
 越桔 - 杜香            -20.599 29.5 13.1  -0.699  0.9789

P value adjustment: tukey method for comparing a family of 6 estimates 
