rm,fc,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
0.5,L,rm.0.5_fc.L,0.7843654228855721,0.965,0.19220645657581797,0.060983529306837495,0.7146915456378026,0.16673466462164166,0.36,0.32388063644908854,0.295,0.2080865204668481,0.02,0.0282842712474619,4560.087178399397,104.04751290375134,1.4410860818353676e-23,10
1,L,rm.1_fc.L,0.7844151741293532,0.967,0.19239530794331142,0.06240070740496917,0.7150464788912962,0.16687839679080868,0.379,0.3154795291826925,0.3,0.2122891110412088,0.02,0.0282842712474619,4560.33049230318,104.29082680753436,1.2760126528621147e-23,10
1.5,L,rm.1.5_fc.L,0.784402736318408,0.967,0.19281715490580584,0.0636832644157213,0.71510355692096494,0.1671377207227656,0.38925,0.30194301338718427,0.29500000000000004,0.21252450839060108,0.02,0.0282842712474619,4560.63891302257,104.59924752692405,1.0936598596013897e-23,10
2,L,rm.2_fc.L,0.7843450248756219,0.968,0.19307163255129853,0.06537207441047656,0.7153108495176815,0.1674579571437025,0.3945,0.31708936700347845,0.3,0.2122891110412088,0.02,0.0282842712474619,4561.033342924102,104.99367742845607,8.979102055032836e-24,10
2.5,L,rm.2.5_fc.L,0.784247512437811,0.97,0.19346616440326053,0.06715232720942045,0.7154081873743896,0.16782297732400087,0.391,0.2966524341155263,0.305,0.22233608194203058,0.02,0.0282842712474619,4561.512304984266,105.47263948862019,7.066878389650958e-24,10
3,L,rm.3_fc.L,0.78408184079602,0.969,0.19384042555056524,0.06903601383291179,0.7155341415616134,0.1682755470956338,0.41200000000000003,0.3011655137406451,0.31,0.2277425447005163,0.02,0.0282842712474619,4562.068240953062,106.02857545741608,5.351895883937054e-24,10
3.5,L,rm.3.5_fc.L,0.7839400497512438,0.976,0.19421134387419628,0.07101434273778987,0.7156021768309738,0.1687526906814667,0.434,0.31179587339582715,0.305,0.22883764259113198,0.015,0.019148542155126763,4562.692151527487,106.65248603184136,3.917664093808529e-24,10
4,L,rm.4_fc.L,0.7837534825870647,0.975,0.19453027040582405,0.07313848621353454,0.7156237333273872,0.16930298730571078,0.45425,0.3251731589989145,0.3,0.22449944320643647,0.015,0.019148542155126763,4563.403588566986,107.36392307134065,2.7449889844441034e-24,10
0.5,LQ,rm.0.5_fc.LQ,0.8343838308457712,0.985,0.1262835057327016,0.06385103568824008,0.7644717712045889,0.10628273188225885,0.5245,0.3295092310290158,0.25470588235294117,0.17584070593551,0.02,0.0282842712474619,4475.00784714937,18.96818165372406,4.299638734433015e-5,16
1,LQ,rm.1_fc.LQ,0.8296594527363184,0.98,0.1322818222296255,0.06951603072721282,0.7650816895871377,0.11666457410081951,0.608,0.28405985284795177,0.25480392156862747,0.20899578645112743,0.02,0.0282842712474619,4482.232899297305,26.193233801659517,1.1601972374492033e-6,15
1.5,LQ,rm.1.5_fc.LQ,0.8259435323383084,0.952,0.133521349928581,0.07133237126049365,0.7698892374110229,0.12224654455498618,0.6485,0.3712757286258646,0.25490196078431376,0.22485879203457443,0.02,0.0282842712474619,4485.493387230189,29.45372173454325,2.272614996933759e-7,13
