rm,fc,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
0.5,L,rm.0.5_fc.L,0.7457216417910448,0.986,0.14380667736367417,0.06915791139548066,0.7706976285798741,0.12894579074098322,0.822,0.28896251198612827,0.07846226278429667,0.13509724813105095,0.02754237288135593,0.05508474576271186,10576.065950278226,317.86200900589574,9.467868637878631e-70,10
1,L,rm.1_fc.L,0.7440227078891258,0.983,0.14550036999123028,0.070834130277963,0.771967902574979,0.1308006581977688,0.836,0.26175306429279227,0.08061712299000434,0.12932575447880573,0.029661016949152543,0.059322033898305086,10577.559353497674,319.3554122253445,4.487080230570035e-70,9
1.5,L,rm.1.5_fc.L,0.742376012793177,0.978,0.1456671794496206,0.07382376421474222,0.7721259125172375,0.13217442841090762,0.8402499999999999,0.26188722127409475,0.07849847892220774,0.125165660508224,0.029661016949152543,0.059322033898305086,10582.175589802766,323.97164853043614,4.462321507350794e-71,9
2,L,rm.2_fc.L,0.7408278251599147,0.975,0.1440080687320216,0.07675320545342576,0.7714327544031375,0.13232417150169384,0.842,0.2594982337769052,0.08704548746921628,0.12384801391939497,0.03389830508474576,0.06779661016949153,10587.35157985116,329.1476385788301,3.3543540446178384e-72,9
2.5,L,rm.2.5_fc.L,0.7393082089552239,0.972,0.141182938800836,0.07983385639982295,0.7701021796827293,0.1319141229592077,0.87675,0.18550539075724998,0.0849449514703752,0.1160114152273372,0.03177966101694915,0.0635593220338983,10592.938438709478,334.7344974371481,2.0532314734999895e-73,9
3,L,rm.3_fc.L,0.737962579957356,0.973,0.13779781540715522,0.0831840812012043,0.7678106603638191,0.131962264075476,0.8734999999999999,0.18975334867488727,0.0871179197450384,0.1100236077196208,0.023305084745762712,0.046610169491525424,10598.752994048147,340.5490527758175,1.1215619413327215e-74,9
3.5,L,rm.3.5_fc.L,0.7364775053304904,0.977,0.1352772547485797,0.08692802792111512,0.7654406784881345,0.13412101027742973,0.88175,0.15574632151889387,0.08284441547153412,0.10866193961873531,0.014830508474576272,0.029661016949152543,10604.840942071303,346.63700079897353,5.343700971060242e-76,9
4,L,rm.4_fc.L,0.7349222814498934,0.979,0.13252040391802475,0.09082133190312781,0.7619116766908511,0.13792491843424423,0.8905,0.13092618785661891,0.08284441547153412,0.10866193961873531,0.012711864406779662,0.025423728813559324,10611.088655094582,352.8847138222518,2.350544632957496e-77,9
0.5,LQ,rm.0.5_fc.LQ,0.755668763326226,0.983,0.15145430531684673,0.08705297673059643,0.7684118362120611,0.14076358428662547,0.8275,0.2539822828466584,0.129436476894104,0.198947452376319,0.02754237288135593,0.05508474576271186,10545.745439298127,287.5414980257974,3.633017812936849e-63,16
1,LQ,rm.1_fc.LQ,0.7541525586353944,0.982,0.1514442731538761,0.08299636624629134,0.7727459438882578,0.14055473295128199,0.8674999999999999,0.19223336512340067,0.11026003187020136,0.1925787415223556,0.029661016949152543,0.059322033898305086,10552.570666757354,294.3667254850243,1.1972592900496032e-64,16
1.5,LQ,rm.1.5_fc.LQ,0.7525331556503199,0.983,0.15005527692509846,0.08469733690155054,0.7719013430121182,0.14226793934948026,0.828,0.2588100976906942,0.10394031580472259,0.16876587628957956,0.02754237288135593,0.05508474576271186,10558.700587375364,300.49664610303444,5.585896264254779e-66,16
2,LQ,rm.2_fc.LQ,0.7509796375266524,0.984,0.14839875438688516,0.08628545355877032,0.7707011341718938,0.1428630402887448,0.83575,0.2492487044433063,0.09334709546573954,0.14785490275353835,0.02754237288135593,0.05508474576271186,10561.076351822758,302.87241055042796,1.7029510757374838e-66,14
2.5,LQ,rm.2.5_fc.LQ,0.7494647121535182,0.986,0.14634132244474332,0.08836290499929089,0.7697140932236383,0.1428727228044243,0.8454999999999999,0.23462381237490224,0.0955019556714472,0.14196939784011442,0.023305084745762712,0.046610169491525424,10568.098849379094,309.894908106764,5.084944326198127e-68,14
3,LQ,rm.3_fc.LQ,0.7478924307036248,0.992,0.14374948004008936,0.0907975827462272,0.7676648337354797,0.14302879325861698,0.84925,0.23259317129557636,0.09552006374040273,0.1371723423105503,0.01694915254237288,0.03389830508474576,10575.645948522386,317.4420072500561,1.1680312067476257e-69,14
3.5,LQ,rm.3.5_fc.LQ,0.7460348614072495,0.993,0.14077837463717077,0.09365908349390228,0.7644754514260921,0.14412627948031917,0.85025,0.2140831224859478,0.09553817180935825,0.1340275318172914,0.01694915254237288,0.03389830508474576,10586.6654040187,328.46146274637067,4.727266521297861e-72,15
4,LQ,rm.4_fc.LQ,0.7441137526652452,0.992,0.13882677090560785,0.09666796217806974,0.7613234646808561,0.14687214498948836,0.831,0.23273303733390896,0.09343763581051717,0.12587293035262506,0.012711864406779662,0.025423728813559324,10592.42474661125,334.2208053389204,2.654512254945388e-73,14
